Time,X Estimate [m],Y Estimate [m],Psi Estimate[m],xdot[m/s],ydot[m/s],psidot[rad/s],Castor 1: left_wc, Castor1: right_wc,Castor 2: left_wc, Castor2: right_wc,Castor 3: left_wc, Castor3: right_wc
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0399577,0,0,0,0,0,0,0,0,0,0,0,0
0.0722952,0,0,0,0,0,0,0,0,0,0,0,0
0.104294,0,0,0,0,0,0,0,0,0,0,0,0
0.135937,0,0,0,0,0,0,0,0,0,0,0,0
0.152279,0,0,0,0,0,0,0,0,0,0,0,0
0.183912,0,0,0,0,0,0,0,0,0,0,0,0
0.216065,0,0,0,0,0,0,0,0,0,0,0,0
0.248155,0,0,0,0,0,0,0,0,0,0,0,0
0.28014,0,0,0,0,0,0,0,0,0,0,0,0
0.295945,0,0,0,0,0,0,0,0,0,0,0,0
0.327695,0,0,0,0,0,0,0,0,0,0,0,0
0.360036,0,0,0,0,0,0,0,0,0,0,0,0
0.39183,0,0,0,0,0,0,0,0,0,0,0,0
0.42408,0,0,0,0,0,0,0,0,0,0,0,0
0.43995,0,0,0,0,0,0,0,0,0,0,0,0
0.471939,0,0,0,0,0,0,0,0,0,0,0,0
0.503948,0,0,0,0,-0,0,0,0,0,0,0,0
0.53624,0,0,0,0,-0,-0,0,0,0,0,0,0
0.568284,0,0,0,0,-0,-0,0,0,0,0,0,0
0.584067,0,0,0,0,-0,-0,0,0,0,0,0,0
0.616069,0,0,0,0,-0,-0,0,0,0,0,0,0
0.647729,0,0,0,0,-0,-0,0,0,0,0,0,0
0.680083,0,0,0,0,-0,-0,0,0,0,0,0,0
0.711791,0,0,0,0,-0,-0,0,0,0,0,0,0
0.728118,0,0,0,0,-0,-0,0,0,0,0,0,0
0.760197,0,0,0,0.000213623,-0,-0,0,0,0,0,0,0
0.792177,0,0,0,0.000720215,-0,-0,0,0,0,0,0,0
0.824205,0,0,0,0.00202026,-0,-0,0,0,0,0,0,0
0.855964,0,0,0,0.0031189,-0,-0,0,0,0,0,0,0
0.871913,0,0,0,0.00357666,-0,-0,0,0,0,0,0,0
0.904409,0.000194031,0.000106676,-5.48063e-05,0.00518188,-0,-0,-16,16,-3,43,-4,44
0.936736,0.000206712,5.08361e-05,0.000168983,0.00713501,-0,-0,-40,40,-13,22,-19,21
0.968587,0.00068794,0.00109199,0.00292296,0.0118469,-0,-0,-76,576,-32,56,-46,53
0.984842,0.000528519,1.27718e-05,0.000106195,0.0171997,-0,-0,-103,16,-43,80,-64,76
1.01725,0.000859427,-0.000171909,0.000504795,0.0184631,-0,-0,-165,50,-64,140,-116,141
1.04905,0.00134537,-5.02972e-05,0.000727879,0.0241516,-0,-0,-234,97,-69,210,-173,222
1.08125,0.00202443,-8.14277e-06,0.000716612,0.0245972,-0,-0,-350,127,-103,309,-239,315
